,0,1,2,3,4,5,6,7,predict,true
0,3.6073165,18.61486,9.124294,-0.17646527,11.099672,3.8898218,-6.7508116,0.05056782,5912.16064453125,5960.02783203125
1,2.3106644,7.9079285,6.011182,-4.2116385,12.7355995,-1.1922292,-8.372293,-1.003324,5974.2138671875,6015.1162109375
2,1.2475644,7.2281036,-3.1454144,-4.3913965,14.335522,-1.8691816,-13.617754,0.10244016,6015.005859375,6004.73291015625
3,0.8334862,24.952583,-0.54213333,-3.0763168,18.408234,-4.9829254,-10.5457735,-1.586555,6028.19384765625,6035.17822265625
4,1.951183,41.486893,-0.2745247,-4.976383,14.373026,-3.7029247,-9.267003,-0.8796941,6073.88818359375,6126.86181640625
5,1.6089438,33.62982,-2.8222084,-4.8315463,11.156592,-5.59447,-9.265858,0.50170916,6151.24560546875,6205.93701171875
6,0.98287046,45.41046,-2.9452095,-6.9042587,13.741977,-5.991559,-7.743668,-0.7021801,6241.78564453125,6264.5400390625
7,0.6487756,50.960667,-4.0915413,-5.816342,18.136559,-2.7575116,-7.447174,-1.1775082,6312.99609375,6363.10205078125
8,1.2966018,65.33543,-6.58617,-5.561194,17.833595,0.49923325,-4.1371636,-0.5978083,6431.1845703125,6470.76318359375
9,1.4715476,51.154694,-3.2240562,-1.4463577,20.477676,-0.2317257,-2.8135133,-0.9324918,6535.21875,6566.64111328125
10,1.4772205,50.44532,1.285202,0.1259942,19.546904,-0.79602015,-3.2295146,1.0208,6636.51708984375,6680.80322265625
11,2.0091057,54.719307,0.46440887,0.24409103,19.339672,-1.439049,-3.7846274,-0.3283155,6752.0283203125,6729.458984375
12,1.9999744,55.49668,0.34362793,-0.46995687,19.155909,-1.7305729,-4.533545,-0.08362579,6799.6376953125,6808.93896484375
13,1.9920822,56.220863,0.35712433,-0.5878196,18.624498,-1.6697215,-4.7636356,0.21990883,6879.33154296875,6882.09814453125
14,1.9814541,56.82489,0.44648743,-0.69344664,18.657999,-2.0054393,-4.5712566,0.3995902,6953.13818359375,7013.73779296875
15,1.9719536,57.363377,0.29036713,-0.4336567,18.836767,-1.8659681,-4.434809,-0.42388767,7085.04248046875,7115.65185546875
16,1.9630592,58.17055,0.16204071,-0.69081736,19.137363,-1.7783415,-4.656636,0.17406122,7188.13232421875,7246.93115234375
17,1.9532276,58.910408,0.06049347,-0.59767246,19.780766,-1.6818419,-4.6394844,0.12465601,7320.841796875,7331.0751953125
18,1.9429243,59.731117,0.28455353,-0.71140814,20.309446,-1.8700732,-4.803581,0.6013288,7406.5595703125,7455.2880859375
19,1.9345562,60.658955,0.22506714,-0.5739002,20.423044,-1.9809176,-4.715437,-0.054839242,7531.205078125,7522.2890625
20,1.9234123,61.5676,0.42847443,-0.7745619,20.243841,-2.4960752,-5.065052,0.4459202,7598.5625,7580.9970703125
21,1.9114807,62.52563,0.50055695,-0.8713083,20.134283,-2.5919876,-5.301638,0.7063009,7658.0107421875,7683.125
22,1.9012113,63.34433,0.5915451,-0.8004322,20.48161,-2.395029,-5.3454027,-0.053690698,7760.84912109375,7772.5859375
