,0,1,2,3,4,5,6,7,predict,true
44,9.982165,64.5766,34.79829,18.727837,11.858337,-7.4835896,-5.6652346,-1.2836555,10595.7421875,10599.0
45,9.844094,65.09606,35.051273,18.734882,11.92291,-8.172278,-6.0560656,1.0589912,10726.48046875,10598.01953125
46,9.636572,66.35895,34.632225,18.060764,11.252563,-7.9746923,-7.163995,-0.008586679,10722.8134765625,10660.46484375
47,9.385154,66.76551,34.434013,17.207829,10.654947,-8.252737,-7.2569246,-0.82904434,10782.5732421875,10783.5
48,9.195017,67.43403,34.21096,18.214838,11.360521,-7.5328903,-6.794112,0.06694624,10909.6552734375,10887.4599609375
49,9.027056,68.26299,34.447308,18.18182,11.33226,-6.0761237,-6.387516,-0.414789,11015.83203125,10984.0400390625
50,8.884744,68.74912,34.905212,18.697702,11.757784,-5.4721265,-4.949162,0.7306405,11117.34375,11061.4326171875
51,8.77869,69.364655,34.95594,19.314167,12.216495,-5.092145,-4.78817,-0.2146935,11195.9677734375,11174.12890625
52,8.6431,69.88706,35.45711,20.086004,12.346383,-4.543642,-3.6267042,-1.0303919,11311.34765625,11312.765625
53,8.578341,70.72652,36.094715,20.60389,12.688602,-4.5289516,-3.6669571,-0.12582944,11453.134765625,11566.6689453125
54,8.579315,70.92554,37.29902,22.311148,13.775216,-3.8817616,-3.1527925,1.0732615,11713.5986328125,11772.234375
55,8.580586,71.76999,38.284214,22.918163,15.273665,-3.886853,-3.3218465,0.45969382,11922.3115234375,11923.447265625
56,8.423618,72.55556,39.4211,22.590769,15.637588,-3.9900193,-2.9852057,-0.39356294,12074.70703125,12112.8154296875
57,8.256212,73.44908,40.237064,23.178923,15.965169,-4.90774,-3.0145435,-0.14924146,12265.8291015625,12305.306640625
58,8.0050335,74.47856,40.98926,23.89921,15.925917,-5.859597,-3.769308,0.443893,12459.419921875,12527.2138671875
59,7.715811,75.559425,42.218407,24.280148,15.875104,-6.330968,-4.2722244,-0.5416257,12681.7177734375,12767.2861328125
60,7.3068304,76.61766,43.28807,24.566662,16.466148,-6.6801143,-4.7512493,0.3329232,12924.4326171875,12922.65625
61,6.7709374,77.691925,43.887707,24.498838,16.43407,-7.3478336,-5.3330793,-1.7410866,13077.517578125,13142.6416015625
62,6.1727,79.00215,44.68109,24.43412,16.250914,-7.8471045,-5.2863483,-0.67051065,13299.37890625,13324.2041015625
63,5.459115,80.28676,44.904655,24.749645,16.15921,-8.699427,-5.8522773,-0.26127976,13480.9501953125,13599.16015625
64,4.685544,81.38649,46.078136,25.493824,16.785915,-8.52341,-5.6735506,-0.76475173,13758.62890625,13753.423828125
65,3.9016166,82.97629,46.666794,25.585026,16.740889,-8.606697,-6.1712255,0.40109828,13914.9189453125,13870.1884765625
66,3.0199587,84.01044,47.07514,25.041271,16.317434,-9.241993,-6.670362,-0.6234596,14029.1171875,14039.5595703125
67,2.2084618,85.442566,47.22025,25.558378,16.49853,-9.829052,-6.98971,-0.8240374,14198.8447265625,14215.6513671875
68,1.4786541,86.686325,47.45793,25.706118,16.15139,-10.062315,-7.353895,0.40523335,14376.12109375,14402.08203125
69,0.7707503,87.83264,48.026493,25.812243,16.47491,-9.617328,-7.749132,0.6266807,14564.259765625,14564.1171875
70,0.06099299,89.02296,48.364735,25.899437,17.09418,-9.28327,-7.883935,-0.48257312,14726.9091796875,14715.0576171875
